NOME DO CANTO;NÚMERO;COMPOSITOR;CATEGORIA;TONALIDADE
ALELUIA GLÓRIA AO PAI;104;;ALELUIA;
ALLELUIA RESTA SEMPRE;105;;AÇÃO DE GRAÇAS;
O PÃO DO CÉU;106;;COMUNHÃO, AÇÃO DE GRAÇAS;
QUEM NÃO TE LOUVARÁ;107;;LOUVOR ADORAÇÃO;
GLÓRIA AO SENHOR (SL 2);108;;SALMO, GLÓRIA;
SIM, EU QUERO;109;;;
EU QUERO SER;110;;PERDÃO;
BATIZA-ME, SENHOR;111;;;
QUE SEJAM UM;112;;TRINDADE, REFRÕES;D
MÃE DO CÉU MORENA;113;;MARIA;A
NESTA PRECE SENHOR;114;;OFERTÓRIO;
HOSANA REI;115;;SANTO;
SANTO (SENHOR DA MINHA VIDA);116;;SANTO;
CUBRA-ME COM SEU MANTO;117;;MARIA;G
BUSCAI PRIMEIRO;118;;ALELUIA, PALAVRA;
ALELUIA COMO TU Ó PAI;119;;ALELUIA;
SÓ EM DEUS (SL 62);120;;SALMO, AÇÃO DE GRAÇAS;
VINDE Ó ESPIRITO SANTO    ;121;;ESPÍRITO SANTO;
SE UM DIA UM ANJO DECLAROU;122;;MARIA;E
DEIXA QUE O MUNDO SIGA;123;;AÇÃO DE GRAÇAS, MISSÃO;A
VENHO A TI;124;;ENTRADA;
TU ANSÉIAS;125;;ENTRADA;
TÃO PERTO DE MIM;126;;AÇÃO DE GRAÇAS, LOUVOR ADORAÇÃO;
JESUS;127;;LOUVOR ADORAÇÃO;
AO ÚNICO QUE É DIGNO;128;;AÇÃO DE GRAÇAS, LOUVOR ADORAÇÃO;
UMA COISA ESTOU SENTINDO;129;;AÇÃO DE GRAÇAS, LOUVOR ADORAÇÃO;
TU ÉS SOBERANO;130;;AÇÃO DE GRAÇAS, LOUVOR ADORAÇÃO;
O NOSSO REI (Glória a deus nas alturas);131;;REFRÕES;
O ESPÍRITO DE DEUS REPOUSA    ;132;;ESPÍRITO SANTO, GLÓRIA;
ESPÍRITO DE DEUS (Ez. 37,10)   ;133;;ESPÍRITO SANTO;
EU TE AGRADEÇO;134;;AÇÃO DE GRAÇAS;
GLÓRIA A JESUS (M. Valverde);135;;ADORAÇÃO, LOUVOR, ADORAÇÃO;
EU QUERO UM RIO DE ÁGUA VIVA (Existe um poço);136;;;
IDE PREGAI A PAZ;137;;ALELUIA;
A TI ELEVO;138;;OFERTÓRIO;
HOSANA REI, HOSANA RÁ;139;;;
EU CELEBRAREI;140;;;
A PAZ ESTEJA COM VOCÊ;141;;ABRAÇO DA PAZ;
SANTA VIRGEM DO SILÊNCIO;142;;MARIA;C
ELE QUER MUDAR TUA VIDA;143;;INTERCESSÃO;
SANTO (SPIRITUAL);144;;SANTO;
GLÓRIA E PODER;145;;LOUVOR ADORAÇÃO, REFRÕES;
QUERO MERGULHAR NAS PROFUNDEZAS;146;;;
ESPÍRITO DE DEUS VEM E FICA AQUI    ;147;;ESPÍRITO SANTO;
CRISTO QUERO SER INSTRUMENTO;148;;AÇÃO DE GRAÇAS;
VENHA OUVIR A PALAVRA;149;;PALAVRA;
MINH'ALMA ENGRANDECE (Magnificat tem enchido);150;;MARIA;D
JESUS JESUS EIS-ME AQUI;151;;OFERTÓRIO, INTERCESSÃO;
SE CALAREM A VOZ DOS PROFETAS;152;;COMUNHÃO, MISSÃO;
TU ÉS MINHA VIDA;153;;COMUNHÃO, AÇÃO DE GRAÇAS;
VEM EU MOSTRAREI;154;;AÇÃO DE GRAÇAS;
ESTOU AQUI;155;;;
DESCE CRIADOR AQUI   ;156;;ESPÍRITO SANTO;
TU MARIA;157;;MARIA;E
CRISTÃOS VINDE TODOS;158;;ENTRADA;
CELEBRAI COM JÚBILO (SL 99);159;;SALMO, LOUVOR, ANIMAÇÃO;D
AO LEVAR VINHO E PÃO;160;;OFERTÓRIO;
HÁ ALGUÉM;161;;AÇÃO DE GRAÇAS, LOUVOR ADORAÇÃO;
MARIA SIMPLESMENTE UM;162;;MARIA, ESPÍRITO SANTO;
SANGUE DERRAMA NESTE ALTAR;163;;AÇÃO DE GRAÇAS;
VEM ESPÍRITO SOZINHO EU NÃO POSSO    ;164;;ESPÍRITO SANTO;
CANTAMOS A TI;165;;AÇÃO DE GRAÇAS, TRINDADE;E
O SENHOR É SANTO;166;;;
NOITE FELIZ;167;;AÇÃO DE GRAÇAS;
DEUS QUERO LOUVAR-TE;168;;ANIMAÇÃO;G
Ó MINHA SENHORA;169;;MARIA;A
L’ANIMA MIA MAGNIFICA;170;;REFRÕES;
